,text,embeddings
50,"Since attending the shows back in September, I must have looked at well over 10,000 runway images to discern the looks I'd include in this, our bumper spring/summer 2023 fashion trend overview. (That's no exaggeration by the way; if you take 350 shows with, say, 30 models each, the number quickly racks up.) Some trends take some digging to unearth, but others? Well, they're pretty hard to miss. Green falls into the latter category.","[ 0.04205601  0.03176508  0.05237669 ...  0.00783717 -0.01736967
 -0.01397901]"
51,"A subtle move on from Kelly green—a true grass green—if I had an hour to spare, I could list all the designers that included zesty shades in their collections. Instead, I'll leave you with some more impressive numbers.""There was an average of 39,000 page views each month this year for green products on Lyst,"" says Le Caer. Coincidence? There's no such thing. ","[ 0.02409045  0.02527644  0.01854594 ... -0.02549881 -0.02420904
 -0.01850146]"
52,"I won't waste your time by quoting perhaps the most famous line in fashion-themed cinematic history, but let's just say florals are hardly revolutionary when it comes to the warmer months. At least they weren't until designers decided to double down on the trend and give it the gusto it has long been craving for with a new take on blooms. We spotted a plethora of pretty 3D floral embellishments across plenty of collections, from Magda Butrym's rosette choker to Loewe's Anthuriums of epic portions. ","[ 0.05758417  0.05384928  0.00970653 ... -0.00927451 -0.02271592
 -0.01346929]"
53,"For spring 2023, there was a more surrealist interpretation with standout 3D designs and runway looks embellished with floral motifs. Standouts included provocative sculptural flowers on mini and maxi dresses paired with bold leaf shoes, says Page.","[ 0.0530238   0.02024425  0.02361609 ...  0.02782097 -0.04162567
 -0.03612494]"
54,"Not a tie-dye girl yet fed up to the back teeth with ditsy florals? Then a new wave of digitally manipulated, mind-bending blurry prints will provide you with some sweet patterned relief for the coming season—they're certainly my number one choice when it comes to adding a new, unique motif into my heavily printed repertoire, says Hannah Almassi, editor in chief at Who What Wear UK.","[ 0.03431499  0.03389686 -0.02843322 ...  0.02365254 -0.00711876
 -0.03492826]"
55,"""The movement could be traced back to Jonathan Anderson's cult-adored blur-print tube dresses from Loewe last summer—the designer kick-started a revival for formfitting trompe l'oeil and cyber prints, and the look appears to be holding strong for S/S 23. But there is also another side to this creative coin; I've noticed an air of bohemia for smudgy surface patterns, with some designers combining lighter-weight, billowing fabrics alongside painterly ombrés to great effect. It's very 'I work in the arts, darling.'"" ","[ 0.03258242  0.03047844 -0.00236515 ... -0.00029747 -0.00810177
 -0.04269319]"
56,"Gen Z call it ""indie sleaze."" I call it my wardrobe when I was 17. Either way, there was an edgy sensibility to many of the spring/summer 2023 runways that, although it's hard for me to admit, does equate to nostalgia. Think muddy hues, distressed denim, long-sleeve tops layered under grubby tees, army jackets  and chunky silver hardware. ""Modern utility detailing was peppered throughout the majority of S/S 23 collections, with oversized pockets and cargo shapes spotted at Fendi, Blumarine, Miu Miu,"" saysHeather Gramston, style expert and head of womenswear at Browns.","[ 0.02487159  0.05619586 -0.02700734 ... -0.00129792  0.00699419
 -0.01831288]"
57,"""We saw the '90s and '00s, be that grunge or minimalism, firmly returning to fashion with denim maxi skirts, bomber jackets and biker jackets. We have invested in nine styles from both the runway and true denim brands to scout out the perfect fit, length and wash,"" says Page.","[ 0.01204328  0.0700066  -0.0184002  ... -0.01296195  0.03194554
 -0.03905349]"
58,"Every buyer I have spoken to has been most excited by the many pairs of perfectly cut trousers in the spring/summer 2023 collections, which actually should hardly come as a surprise. It's been the year of the trouser after all, and that looks set to continue as designers have become more and more playful with their pants. From pedal pushers to wide-leg, cargos to puddle hemlines, the gang's all here, and just in the nick of time. ","[ 0.03033282  0.02375494  0.02854854 ...  0.00408122 -0.00649466
 -0.03161111]"
59,"Nothing says springtime like white cotton. Slightly cropped embroidered blouses, loose-fitting shirts and oversized tent dresses really do make up the DNA of my wardrobe in the warmer months. What’s so fresh about S/S 23’s version of this summer classic is that it doesn’t just come courtesy of cotton. In fact, you’ll find PVC ruffles from Batsheva, sequin suits and Coperni’s now-iconic spray-on dress made with new innovative material, Fabrica, says Rebecca Rhys-Evans, branded content editor at Who What Wear UK.","[ 0.08354985  0.05630766 -0.01126824 ...  0.0033131   0.01272285
  0.01013538]"
60,"It seems this season is upping the ante when it comes to wearing whites, forging newfound design methods and experimenting with untraditional fabrics for the season. Of course, the real challenge is not how to style a colour so brilliantly simple but how to keep it clean. My advice? Stay clear of all coloured foods, children and the Central Line, adds Rhys-Evans.","[ 0.0636297   0.03884089  0.02684188 ...  0.00626564 -0.02164079
 -0.01492652]"
61,"""As seen in Miu Miu's Milan Fashion Week show, knee-length skirts are making a comeback,"" says Le Caer. ""Already embraced by the likes of Emily Ratajkowski, the formerly 'ugly' and difficult-to-get-right trend has been benefitting from the current resurgence of all things '90s, and searches for knee skirts have increased by 81% since January. Searches for pencil skirts, in particular, increased 168% in October, which I don't think is any sort of accident.""","[ 0.02001129  0.05300218  0.01572777 ...  0.02364971 -0.00996694
 -0.04149343]"
62,"Gucci has been playing with the whole dolly theme for a while now, but this season, there was a stark uptick in the amount of collections boasting twee, '60s-style babydoll dresses, giving the runway a playful mood.","[ 0.03928934  0.0132053   0.00296825 ...  0.02797798 -0.00700103
 -0.01010969]"
63,"""Every season, there is a trend that speaks to the inner maximalist in us. While autumn gave us lurid neons, biker boots and Y2K glamour, spring/summer 2023 presents something a little sweeter, and those with an aversion to all things 'pretty,' consider this your warning to look away now,"" says Remy Farrell, shopping editor at Who What Wear UK.","[ 0.03538449  0.05675093 -0.00054781 ...  0.00970934 -0.01118492
 -0.02548332]"
64,"""From Molly Goddard’s diaphanous skirts to Giambattista Valli’s embellished minis, it’s time to step into the world of the living doll, a candy-coloured world of ribbons, ruffles and plenty of drama, as the fresh, new season opens with childlike joie de vivre. Simply dust off your Mary Janes and knee-high socks, and enjoy the all of the petticoats and frou-frou that we ironically hated as children but cannot wait to repurpose as adults,"" adds Farrell. ","[ 0.0461476   0.03773673 -0.02153181 ...  0.00731044 -0.00699503
 -0.03201735]"
65,"There are plenty of '90s things to take note of in the fashion space for spring, and ballet shoes just happen to be one of them. I'm always surprised at just how divisive these shoes prove to be, but make no mistake, in terms of spring/summer 2023 footwear, this is the only shoe that matters; at least, it was to designers. Thom Browne and Tod's lean into the saccharine sweetness of pastel satin, while Simone Rocha's rust metallic iteration presents a sleek ballet/Mary Jane flat shoe hybrid.","[ 0.02043652  0.01511217  0.03117795 ...  0.03289976 -0.01533733
 -0.03128391]"
66,"Although they've been cropping up on runways and amongst the street style set for a few seasons now, it's clear that, for S/S 23, ballet flats are back in a big way—and I'm okay with it. Yes, it makes sense to save these precious shoes for a day when no rain is forecast, but the elegance they lend to any outfit makes those limitations completely worth it. This season sees classic leather put on the back burner (although, they'll always be chic) in place of luxurious satin and printed fabric styles, which promise to lend their French-girl appeal to any jeans or dress outfit you're looking to freshen up for the months ahead, says Emily Dawes, affiliate editor at Who What Wear UK.","[ 0.03788051  0.02443703  0.00217944 ...  0.01864179 -0.0065725
 -0.0363633 ]"
